	name	predict
0	2000000964829 трихопол таб 250 мг n2	НЕ Сигареты ROTHMANS
1	сигареты парламент карат синий //	НЕ Сигареты ROTHMANS
2	перец горький 1 шт	НЕ Сигареты ROTHMANS
3	"сыр коса ""сочинский"" 120 гр (40)"	НЕ Сигареты ROTHMANS
4	мертенил таб 5мг №30	НЕ Сигареты ROTHMANS
5	"нектар ""донди"" 0,2л яблоко-виноград"	НЕ Сигареты ROTHMANS
6	лейз грибы и сметана  80гр	НЕ Сигареты ROTHMANS
7	коньяк российский трехлетний крым таврический 1/0,5л. алк.40%	НЕ Сигареты ROTHMANS
8	6094 сигареты ява белое золото кл	НЕ Сигареты ROTHMANS
9	"минеральная вода ""боржоми"" 0.5"	НЕ Сигареты ROTHMANS
10	kолбаса молочная вар калибр 05кг гт тавр	НЕ Сигареты ROTHMANS
11	527 malizia 40 д-6 omsa чулки женские (3 белый (bianco) 000)	НЕ Сигареты ROTHMANS
12	пюре тёма  100г телятина	НЕ Сигареты ROTHMANS
13	святой грааль лимонад тархун 0.5л /	НЕ Сигареты ROTHMANS
14	ночной охотник конс д/кошек 400г (телятина индейка) с ключом	НЕ Сигареты ROTHMANS
15	вода бонаква 0,5л	НЕ Сигареты ROTHMANS
16	"сыр плав.""viola"" 200 гр. сливочный"	НЕ Сигареты ROTHMANS
17	страхование: заказ 2lfnnt	НЕ Сигареты ROTHMANS
18	масло kрестьянское 72.5% 180гр. в штуkах новатор, тм азбука kрыма	НЕ Сигареты ROTHMANS
19	коровка из кореновки пломбир крем-брюле стакан 100г	НЕ Сигареты ROTHMANS
20	5ok45qbz9 l сорочка(рубашка)	НЕ Сигареты ROTHMANS
21	платье  арт. juno aw16-juz-782 шт	НЕ Сигареты ROTHMANS
22	очки 17fgls30 (черный)	НЕ Сигареты ROTHMANS
23	вода минеральная свято-михайловская газ пэт-	НЕ Сигареты ROTHMANS
24	"сигареты ""золотая ява"" оригинальная 90р"	НЕ Сигареты ROTHMANS
25	кофе московский ж/б 200гр	НЕ Сигареты ROTHMANS
26	мин.вода жемчужина 0,5л н/газ. п.ува	НЕ Сигареты ROTHMANS
27	зефир обожайка  ванильный кг	НЕ Сигареты ROTHMANS
28	4770190036085 крабовые палочки вичи 100гр	НЕ Сигареты ROTHMANS
29	море импульс компакт мрц 80	НЕ Сигареты ROTHMANS
30	п rothmans demi blue(п., 100,00)	Сигареты ROTHMANS DEMI
31	сиг. восход	НЕ Сигареты ROTHMANS
32	оплата услуг связи: е11677888	НЕ Сигареты ROTHMANS
33	консервы chammy с курицей в соусе, 85гр	НЕ Сигареты ROTHMANS
34	"телевизор polar 42"" 42ltv5001 (dvd-t2)(шт)"	НЕ Сигареты ROTHMANS
35	сигареты parliament carat	НЕ Сигареты ROTHMANS
36	зубная паста колгейт макс.защ.кариеса 75	НЕ Сигареты ROTHMANS
37	кисель 30г.	НЕ Сигареты ROTHMANS
38	блокнот а7, 40л.  арт. 44676/5 мышки под зонтиком /обложка картон, печать 4+0+ уф-лак глянцевый с гл	НЕ Сигареты ROTHMANS
39	пепсан-р 10,0 n30 саше гель д/приема внутрь (p1901 '1', 01.05.20	НЕ Сигареты ROTHMANS
40	сигареты бизнес класс красный мрц 74	НЕ Сигареты ROTHMANS
41	сигареты собрание черн. длинные (150 руб)	НЕ Сигареты ROTHMANS
42	трава для кошек мяу-мяу 10г б/п	НЕ Сигареты ROTHMANS
43	301823011, bodo, шапка	НЕ Сигареты ROTHMANS
44	цезарь корм 100 г говядина с овощами	НЕ Сигареты ROTHMANS
45	халва княженка  ваниль 180гр	НЕ Сигареты ROTHMANS
46	вода галерея источников ессентуки 4 0.5л.	НЕ Сигареты ROTHMANS
